,review,sentiment
0,"Okay, so I just watched this all-Midget (sorry, Little People) Western. Now, while I laughed at some of the way their sizes were exploited like when one fell carrying some boxes that blocked his face or when a townsperson drank a giant glass of beer (I think Jerry Maren played the latter by the way), overall I don't think this deserves the moniker of one of ""The Fifty Worst Films of All Time"" as implied in the book of that name. In fact, for the most part I was quite excited at the way the whole thing was filmed and liked many of the performances especially Billy Curtis as the Hero, Buck Lawson, and ""Little Billy"" Rhodes as the Villain, Bat Haines. They have a great fight scene at the climax. Yvonne Moray as the Heroine, Nancy Preston, and Nita Krabs as the Dance Hall Girl, Nita, who loves Bat are also good in their roles. And then there's Charles Becker as the Comic Relief, Otto the Cook, who has a pretty intentionally funny scene with a duck he's trying to kill as he tries to sweet talk him. The singing is wonderful, too, though hearing an obviously taller male voice coming out of Curtis' mouth was pretty strange especially in contrast to Ms. Murray's natural warbling voice after that. By the way, the only actual tall person that appears is in the beginning when an announcer steps from behind the curtain to introduce the Hero and Villain (with the requisite ""boos"" and ""hiss""!) before the opening credits. So on that note, I'd recommend The Terror of Tiny Town to anyone who likes a good-old fashioned musical western starring talented little people.",0
1,"I watched this in preparation for Herzog's dwarf film. He requires some time in the wilderness.

In the early 30's there were some precode films that copied already established genres but with toddlers playing the roles. I commented on two: ""War Babies"" and ""Runt Pages."" Recently, I saw ""Baby Geniuses,"" which borrowed heavily in spirit — but without the sex jokes.

This is also modeled in a way on those, but is schizophrenic.

It was the same year that ""Wizard of Oz,"" used little people in a serious way to introduce the distorted magic of Oz. (This was before we could rely on Dr Suess.) Nearly all of these actors were in that scene, with its grueling shoot. The actual story is played almost perfectly straight. A standard script is used: cowboy romance, ""Romeo and Juliette"" family feud and romance, cattle rustling, corrupt sheriff, barroom moll... the whole works. These actors and the director take the movie seriously.

On the other hand, a different director managed the musical numbers. There are a half dozen, and the novelty of little people is played to the hilt, using some actual children I think where cuteness is required. The shift in stance is radical. You can see that distributor realized that they had a problem, so here is what they did:

At the beginning, an announcer comes on ""stage"" to announce that we would see a ""novelty picture"" with ""midgets."" A one of a kind, first ever, he effuses. But he is interrupted by the actor playing the hero, who assures him that the movie is not a novelty but a real film. Then he and the film's villain engage in a bit of scripted verbal slapping that someone thought was a successful synthesis of worlds.

Here's what interests me: mainstream movies have only a few seconds to work with the viewer to establish where what the world is they are entering and where they stand in it. It is critical to the success of a film that this is right. It is why genres are so strong film; there is no relief from the moving forward of the narrative. Big films today can do that by showing a synopsis of the whole movie in the long trailers we have. And title sequences have become extremely effective: an art in itself.

By here in 1938, they took those few precious minutes for this strange dialog.

Ted's Evaluation -- 2 of 3: Has some interesting elements.",0
2,"it's surprising to me how much this movie gets ripped on saying it is an exploitation of little people. honestly, this is a classic western story; good guy in white, bad guy in black. it wasn't made as a comedy, but is it funny? yes it can be, for the novelty of it. is it a blockbuster? now, just an average 'B' western from the 30's, but definitely worth watching at least once.

i enjoy this movie not because it exploits anyone, but that they did go to great detail to make a story, a drama with an all midget cast. these are the same little people that were in the ""Wizard of Oz"", so they got to do a classic kind of film. this unique type of movie is one that will never be copied or re-done due to peoples stereotypes, it's an original.

I'm not saying it's some masterpiece, but it is definitely worth seeing once!",1
3,"THE TERROR OF TINY TOWN enjoys something of a cult reputation as one of the ""worst films ever made"" and is notorious for being a musical western enacted solely by dwarf actors (or midgets, as they're credited in the opening titles). However, this isn't that bad at all; it comes across as a distinctly average but mildly enjoyable western with the added novelty of having the entire cast populated by dwarf actors.

It's fair to say that the acting isn't a strong point here, but the dwarfs certainly are enthusiastic performers and you can't fault their efforts in that respect. The musical scenes fare less well due to the high pitched nature of the voices, but the cattle rustling plot is more interesting and there's even a little romance to be enjoyed here. THE TERROR OF TINY TOWN is a unique film, yes, but in many ways it's all rather predictable and ordinary for the era. There are far, far worse films out there too.",0
4,"Well, I've been curious about this movie for years and now I've finally seen it: ""The Terror of Tiny Town"" (1938), a Western/musical with an all-dwarf cast! In many respects it's just a typical Western-- dashing hero attempts to save/woo gorgeous gal and fight off cattle rustlers at the same time (one such rustler tries to frame the hero for murder). The film starts with an average-sized man introducing the diminiutive stars; including the hero, ""Buck Lawson"" (played by Billy Curtis, who has been in several movies and even has a walk-on in ""the Incredible Shrinking Man"".)

""Tiny Town"" is populated entirely by little people(or ""midgets"" as some have called them). They ride ponies instead of horses, but everything in town seems scaled for average sized people. Thus the image of cowboys sauntering UNDER half-doors into saloons! To be honest I think SOME of the ""dwarf"" actors were actually average-sized children. In one scene, a barbershop quartet sings and a ""dwarf"" in a chair sings along in a much deeper voice than you'd expect. That ""dwarf"" looks more like an average-sized little boy in reality.

But then more than a few of the (adult) little people in the cast look like kids (but aren't)-- not just height-wise but they also have very-young-looking faces. You almost think it's a film of kids playing adults (ever see ""Bugsy Malone""?) but they are indeed dwarfs.

You get the typical elements of an ""oater"" (Western), from shoot-em-ups to a seductive female singer in a saloon; some very bad puns (""smallpox"", ""half-pint""); a hero-and-girl duet that will conjure up images of Nelson Eddy and Jeanette McDonald (all together now: ""when I'm calling you-u-u-u""--though to be honest, the songs in ""Tiny Town"" are VERY forgettable!)...a dwarf drinking a huge beer stein, and a duel in a shack where dynamite is about to go off!

So is it great or horrible? Kind of in between; unusual enough (in that it has an all-dwarf cast) to see at least once, but cliched dialogue, weak songs, etc....still, now at least I can say I've seen The Terror of Tiny Town!

(PS--I must add that in many respects the film is the type that exploits little-person actors for their size instead of whatever other talents they may have. How many dwarf actors out there go to a casting call and immediately are told, ""ah! We'll make you the leprechaun...the tiny space alien...one of Santa's elves..."" etc. instead of more substantial roles... )",1
5,"This movie has all the classic elements usually found in westerns of the 1930's - 1950's. The dashing hero, the fair damsel in need of rescuing, the despised villain, singing, dancing, the big chase scene. It's all here. But, the one thing that separates this movie from any other western is the cast. 100% midgets. Yep, this entire movie is cast with actors under the height of 4 feet 8 inches, with a couple of fellas who just might make three feet.

The hook of this movie is the fact that it's all midgets. The dialog and actions could be found in any western made in this time period. Nothing is outstanding about this movie, but then nothing is bad about it. It's just something different. Although, you haven't seen a true chase scene until you see a group of guys chasing each other on Shetland ponies.",0
6,"Possible spoilers.

If you enjoy watching 1930's B Westerns  especially singing westerns  you'll enjoy watching this imaginative romp through the Wild West.

Take any standard ""oater"" and cast little people  with the emphasis on people  in the roles of a hero caught between two feuding cattle barons and an evil rustler trying to steal his girl - - and you'll have an idea what this film is about. All of the elements are here  from a hero falsely accused of murder and facing a lynch mob - - to the final showdown and his saving the damsel in distress from the evil villain.

Several performances were clearly outstanding and truly enjoyable to watch: Billy Curtis as the hero - Buck Lawson; Nita Krebs as the Vamp(ire)  Nita and especially Charles (Mayor of Munchkin City) Becker as the Cook  Otto - - who stole each and every scene. (His scene with the duck is priceless).

Of minor note was the fact that many of the actors and actresses in the barroom scenes appear to have had German accents  which makes some words of their songs a little difficult to understand at first  but in subsequent viewings this proved to be no problem - - especially since the delightful lyrics of the Lew Porter Song  ""Mister Jack and Missus Jill""  more than compensated.

Additionally  although the director (Sam Newfield) chose to dub some songs with voices from professional singers  which proved to be a minor irritant as far as continuity is concerned  this was standard practice for 1930s oaters. (Does anyone dare to forget John Wayne in RIDERS OF DESTINY as Singin' Sandy Saunder?).

However  all-in-all - this film was truly enjoyable.

In closing  I'd like to comment on the fact that it is sad that many comments I've read reflect the fact that many folks cannot get past their bias toward little people - - - and view little people playing real roles as real people as something only to be laughed at.

Please watch this film with an open mind and you could be pleasantly surprised!!!",1
7,"This film is a genuine novelty. The film has been put together as a straightforward B-Western as produced in the late 1930s. It appears to have been filmed on the same locations as dozens of other B-Westerns, with a stock, wall-to-wall music score. The difference is when you see and hear the players. This takes a few minutes to get used to, but once you are into it, you start to get caught up in the story and don't even notice the fact that the entire cast is made up of ""little people"". The acting in this ranges from fair to good, and the direction is as good as in any Roy Rogers or Gene Autry opus. This is not a bad little film and well worth your time if you are in the mood for something different.",0
8,"The standard issue plot consists of the title villain rustling cattle and sparking a range war between two rival ranchers, who each suspect the other.

This is the first and only all little person musical western film. Once the novelty wears off though, The Terror Of Tiny Town starts to look like a typical 1930's poverty row programmer, of which director Sam Newfield is strongly associated.

Billy Curtis, who went on to co-star alongside Clint Eastwood in High Plains Drifter, makes an appealing hero. The musical numbers (some of which were dubbed) are well done and the climax is surprisingly good.

The producers should have cast Mickey Rooney as a giant!",1
9,"It's been a number of years since I saw this masterpiece...and I still laugh when I think about it. How can you not like something as off the wall as this flick.

Aside from the small people and small ponies, etc., I was most surprised by the singing. Not that singing westerns are a novelty, mind you, it's just that after hearing the leading lady squeak like a munchkin, I wasn't prepared for the leading man to have a full, booming, Nelson Eddie-type voice.

This one's a natural for a night with friends, a large bowl of popcorn and plenty of substitute dialog.",1
